producer_id,producer_name,producer_email,producer_address,producer_city,producer_state,producer_state_name,producer_zip,producer_full_address,sales_org_id,contract_date,first_paid_policy_date,birthday_mm_dd,prem_fia_1_raw,prem_fia_1_fmt,prem_fia_2_raw,prem_fia_2_fmt,prem_fia_3_raw,prem_fia_3_fmt,prem_fia_4_raw,prem_fia_4_fmt,prem_fia_5_raw,prem_fia_5_fmt,prem_fia_6_raw,prem_fia_6_fmt,prem_fia_7_raw,prem_fia_7_fmt,prem_fia_8_raw,prem_fia_8_fmt,prem_fia_9_raw,onboarding_stage,next_step_due_date,days_overdue
1,Ravi Agarwal,ravia@gmail.com,2548 Fourth Blvd,Upper Fairview,IL,Illinois,57052,"2548 Fourth Blvd, Upper Fairview, IL 57052",ORG003,2023-04-04,2023-04-19,05-27,0,$0,0,$0,47962,"$47,962",0,$0,57544,"$57,544",61099,"$61,099",0,$0,74610,"$74,610",0,Active,,0
2,Janet Bianchi,janet.bianchi@gmail.com,9045 Ninth Pkwy,Newport,NY,New York,85674,"9045 Ninth Pkwy, Newport, NY 85674",ORG002,2022-10-04,2023-03-30,06-03,0,$0,245794,"$245,794",0,$0,0,$0,339551,"$339,551",237963,"$237,963",351755,"$351,755",0,$0,0,Active,,0
3,Sarah Garcia,sarah_garcia@gmail.com,4555 Franklin Blvd,Old Brookfield,FL,Florida,97841,"4555 Franklin Blvd, Old Brookfield, FL 97841",ORG003,2022-12-13,2023-01-10,06-22,0,$0,421954,"$421,954",348633,"$348,633",409347,"$409,347",0,$0,410448,"$410,448",197202,"$197,202",250202,"$250,202",429027,Appointed,2025-10-09,8
4,Christopher Tanaka,christopher_tanaka@gmail.com,4423 Anderson Way,Old Madison,MO,Missouri,40021,"4423 Anderson Way, Old Madison, MO 40021",ORG001,2020-10-12,2020-12-31,03-09,0,$0,0,$0,0,$0,0,$0,0,$0,0,$0,0,$0,27927,"$27,927",0,Active,,0
5,Antonio Phillips,antoniop@gmail.com,3484 Thomas Pl,Warren,CA,California,28726,"3484 Thomas Pl, Warren, CA 28726",ORG003,2023-10-27,2023-12-07,12-27,0,$0,0,$0,0,$0,56804,"$56,804",0,$0,0,$0,0,$0,0,$0,70122,Active,,0
6,Ruth Young,ruth_young@yahoo.com,5931 Fifth Dr,Arlington,IN,Indiana,16175,"5931 Fifth Dr, Arlington, IN 16175",ORG001,2020-05-24,2020-05-29,06-19,0,$0,72896,"$72,896",0,$0,0,$0,0,$0,0,$0,38735,"$38,735",0,$0,0,Active,,0
7,Michelle Ito,michelle_ito@outlook.com,9764 Franklin Way,Mount Springfield,LA,Louisiana,99166,"9764 Franklin Way, Mount Springfield, LA 99166",ORG001,2020-12-30,2021-05-18,03-09,300789,"$300,789",297328,"$297,328",0,$0,379332,"$379,332",346552,"$346,552",197847,"$197,847",171147,"$171,147",349265,"$349,265",0,Active,,0
8,Aisha Kowalczyk,akowalczyk@outlook.com,7434 Main Rd,Hillside,NY,New York,76542,"7434 Main Rd, Hillside, NY 76542",ORG001,2022-03-25,2022-03-31,05-22,0,$0,0,$0,0,$0,0,$0,0,$0,0,$0,0,$0,0,$0,0,Contracting,2025-09-14,0
9,Carlos Mueller,carlos.mueller@yahoo.com,9814 Church Pl,Old Hudson,NY,New York,41385,"9814 Church Pl, Old Hudson, NY 41385",ORG001,2024-11-30,2024-12-01,09-30,0,$0,0,$0,47478,"$47,478",0,$0,0,$0,0,$0,0,$0,0,$0,0,Active,,0
10,Olivia Meyer,olivia836@gmail.com,2061 Hill Pl,Highland,PA,Pennsylvania,44741,"2061 Hill Pl, Highland, PA 44741",ORG005,2022-07-17,2022-10-07,03-03,222410,"$222,410",86004,"$86,004",0,$0,0,$0,0,$0,0,$0,0,$0,198037,"$198,037",0,Contracting,2025-09-21,9
11,Amit Ramirez,amitr@yahoo.com,7178 Johnson Pl,West Georgetown,NY,New York,54313,"7178 Johnson Pl, West Georgetown, NY 54313",ORG001,2021-12-21,2022-05-31,04-23,0,$0,0,$0,0,$0,0,$0,0,$0,0,$0,0,$0,0,$0,0,Active,,0
12,Dmitri Gupta,dmitri.gupta@yahoo.com,3751 Cedar St,Georgetown,PA,Pennsylvania,77391,"3751 Cedar St, Georgetown, PA 77391",ORG002,2022-03-22,2022-05-20,08-03,0,$0,0,$0,0,$0,0,$0,0,$0,0,$0,0,$0,0,$0,0,Active,,0
13,Frances Murphy,frances741@outlook.com,7745 Sixth Pl,Lakewood,IN,Indiana,22363,"7745 Sixth Pl, Lakewood, IN 22363",ORG001,2020-10-14,2020-10-30,08-30,0,$0,116716,"$116,716",149627,"$149,627",184651,"$184,651",174604,"$174,604",148391,"$148,391",183415,"$183,415",0,$0,0,Appointed,2025-09-16,0
14,Kumar Rivera,kumar.rivera@hotmail.com,994 Sunset Blvd,Fairview,CA,California,42591,"994 Sunset Blvd, Fairview, CA 42591",ORG002,2022-04-03,2022-04-18,05-25,0,$0,0,$0,0,$0,0,$0,0,$0,0,$0,0,$0,0,$0,0,Active,,0
15,Timothy Kumar,tkumar@gmail.com,1236 Jackson Way,Mount Springfield,TX,Texas,22224,"1236 Jackson Way, Mount Springfield, TX 22224",ORG002,2023-02-02,2023-06-12,08-19,0,$0,86780,"$86,780",187147,"$187,147",0,$0,0,$0,0,$0,0,$0,0,$0,0,Active,,0
16,Kevin Evans,kevans@yahoo.com,6210 Main Ct,Lower Fairfield,IL,Illinois,65444,"6210 Main Ct, Lower Fairfield, IL 65444",ORG005,2025-01-16,2025-06-11,05-09,103802,"$103,802",0,$0,0,$0,0,$0,223533,"$223,533",76766,"$76,766",0,$0,175202,"$175,202",162034,Active,,0
17,Marcus Martin,marcus594@outlook.com,999 Martinez Blvd,Saint Washington,TX,Texas,75909,"999 Martinez Blvd, Saint Washington, TX 75909",ORG005,2024-01-10,2024-02-07,12-11,173902,"$173,902",0,$0,0,$0,95117,"$95,117",205244,"$205,244",75271,"$75,271",126066,"$126,066",0,$0,0,Active,,0
18,Kenneth Davis,kdavis@gmail.com,6616 Lake Pkwy,Saint Greenville,AZ,Arizona,91183,"6616 Lake Pkwy, Saint Greenville, AZ 91183",ORG001,2024-08-13,2024-10-12,01-04,0,$0,0,$0,26581,"$26,581",0,$0,0,$0,0,$0,0,$0,0,$0,0,Appointed,2025-10-03,0
19,Sakura O'Brien,sobrien@yahoo.com,4352 Sunset Dr,Hudson,MN,Minnesota,69929,"4352 Sunset Dr, Hudson, MN 69929",ORG003,2022-09-26,2023-02-19,09-16,219246,"$219,246",0,$0,0,$0,0,$0,136074,"$136,074",0,$0,0,$0,0,$0,0,Active,,0
20,Christopher Johnson,cjohnson@outlook.com,8289 Seventh Dr,Georgetown,IN,Indiana,42018,"8289 Seventh Dr, Georgetown, IN 42018",ORG003,2021-11-24,2021-12-20,08-21,151985,"$151,985",0,$0,0,$0,183247,"$183,247",212166,"$212,166",219352,"$219,352",0,$0,0,$0,76510,Active,,0
21,Jose Lee,jose627@outlook.com,129 White Way,South Riverside,UT,Utah,44664,"129 White Way, South Riverside, UT 44664",ORG001,2025-01-02,2025-03-20,07-11,0,$0,0,$0,0,$0,58947,"$58,947",0,$0,0,$0,0,$0,52280,"$52,280",0,Active,,0
